Date,Volumen BTC,BTC-USD,SP500-USD,Volumen SP500,VIX
2019-12-30,3.499791666666675,7234.615,321.079987,49729100,14.82
2019-12-31,3.1868489583333437,7182.4017,321.859985,57077300,13.78
2020-01-02,3.3656250000000125,6961.5683,324.869995,59151200,12.47
2020-01-03,3.5067708333333476,7346.58,322.410004,77709700,14.02
2020-01-06,3.5123697916666807,7761.825,323.640015,55653900,13.85
2020-01-07,3.768229166666681,8157.7617,322.730011,40496400,13.79
2020-01-08,3.593619791666681,8042.8733,324.450012,68296000,13.45
2020-01-09,3.5529947916666798,7816.9233,326.649994,48473300,12.54
2020-01-10,3.6489583333333444,8189.265,325.709991,53029300,12.56
2020-01-13,3.521875000000012,8105.4783,327.950012,47086800,12.32
2020-01-14,3.777604166666679,8807.4267,327.450012,62832800,12.39
2020-01-15,3.7571614583333455,8808.4867,328.190002,72056600,12.42
2020-01-16,3.654817708333344,8716.9133,330.920013,54050300,12.32
2020-01-17,3.5558333333333465,8890.25,331.950012,95846000,12.1
2020-01-21,3.5321614583333436,8727.6033,331.299988,77742400,12.85
2020-01-22,3.5887500000000108,8661.01,331.339996,48914900,12.91
2020-01-23,3.7061197916666835,8392.145,331.72000099999997,51963000,12.98
2020-01-24,3.5986979166666835,8436.49,328.769989,87578400,14.56
2020-01-27,3.4071614583333507,8901.5067,323.5,84062500,18.23
2020-01-28,3.552291666666684,9393.2733,326.890015,63834000,16.280001000000002
2020-01-29,3.845833333333351,9290.46,326.619995,53888900,16.389999
2020-01-30,3.638151041666684,9508.725,327.679993,75491800,15.49
2020-01-31,3.8369791666666866,9346.1333,321.730011,113845600,18.84
2020-02-03,3.624270833333354,9291.6433,324.119995,69242300,17.969998999999998
2020-02-04,3.673697916666687,9175.3367,329.059998,62573200,16.049999
2020-02-05,4.078125000000019,9613.4033,332.859985,65951100,15.15
2020-02-06,3.682291666666682,9750.5467,333.980011,50359700,14.96
2020-02-07,3.6976562500000147,9808.5967,332.200012,64139400,15.47
2020-02-10,3.699479166666679,9852.7183,334.679993,42070000,15.04
2020-02-11,3.92578125000001,10266.1,335.26001,54864500,15.18
2020-02-12,3.7207031250000084,10347.9517,337.420013,43992700,13.74
2020-02-13,3.74257812500001,10230.0783,337.059998,54501900,14.15
2020-02-14,3.6027083333333465,10356.7567,337.600006,64582200,13.68
2020-02-18,3.7242187500000137,10185.8767,336.730011,57226200,14.83
2020-02-19,3.7906250000000132,9593.48,338.339996,48814700,14.38
2020-02-20,3.5139583333333464,9607.31,336.950012,74163400,15.56
2020-02-21,3.773177083333342,9695.5583,333.480011,113788200,17.08
2020-02-24,3.6873697916666717,9664.6333,322.420013,161088400,25.030001000000002
2020-02-25,3.8263020833333385,9313.92,312.649994,218913200,27.85
2020-02-26,3.5444791666666733,8790.12,311.5,194773800,27.559998999999998
2020-02-27,3.902473958333343,8816.585,297.51001,284353500,39.16
