Nombre,Modelo,Marca,Precio,Descripcion,Url IMG
FOLDER CON PALANCA TAMAÑO OFICIO VERDE CLARO,P0975,ACCO,24.36,FOLDER TAMAÑO OFICIO EN CARTULINA DE 326 GRAMOS CON PALANCA CAPACIDAD DE ARCHIVO HASTA 150 HOJAS MEDIDAS 24 X 37 CMS MODELO P0975 COLOR VERDE CLARO ACCOGRIP,https://henki.com.mx/erp/shared_resources/productos/ACC-FOLCON-1249.jpg
LAPIZ DUO VERITHIN ,M10400112026,BEROL,7.25,LAPIZ DUO VERITHIN GRAFITO Y CARMIN TRIANGULAR PAPER MATE ,https://henki.com.mx/erp/shared_resources/restore/1038napsvijbxb.png
SEPARADOR KIP 15 DIVISIONES,SEPKIP-15,KIP,34.06,SEPARADORES KIP 15 DIVISIONES MODELO SEPKIP15 CEJA DE COLOR CON NUMERO CON 1 JUEGO,https://henki.com.mx/erp/shared_resources/restore/10662v9c44rziq.png
NOTAS ADHESIVAS 3X3 POP UP AMARILLA,R330-YW,3M,20.3,"BLOCK DE NOTAS ADHESIVAS MEDIDA 76 MM X 76 MM (3"" X 3"") POP UP COLOR AMARILLA MODELO R330-YW DE 100 HOJAS POR PIEZA 3M POST-IT",https://henki.com.mx/erp/shared_resources/productos/3M-NOTADH-316.jpg
MARCADOR PELIKAN COLORELLA ROJO REDONDO,30111803,PELIKAN,10.31,MARCADOR PELIKAN COLORELLA BARRIL REDONDO COLOR ROJO BASE AGUA POR PIEZA,https://henki.com.mx/erp/shared_resources/productos/386RE.png
MARCATEXTOS VERDE PELIKAN TRIANGULAR,30160106,PELIKAN,7.61,MARCATEXTOS VERDE PELIKAN 414 TRIANGULAR PUNTA DE CINCEL,https://henki.com.mx/erp/shared_resources/productos/PEL-MARVER-178.jpg
FOLDER TAMAÑO CARTA COLOR ROSA,11215,BEROKY,2.21,FOLDER TAMAÑO CARTA EN CARTULINA DE 175 GRAMOS CON MEDIA CEJA Y PUNTAS RECTAS MEDIDAS 23.5 X 29.5 CMS CAJA CON 100 PIEZAS COLOR ROSA BEROKY,https://henki.com.mx/erp/shared_resources/productos/BER-FOLTAM-1132.jpg
LIGA DE HULE NATURAL No 18 EN BOLSA MAE,ML-18B,MAE,19.04,LIGA DE HULE NATURAL No 18 MAE MODELO ML-18B BOLSA CON 80 GRAMOS,https://henki.com.mx/erp/shared_resources/restore/1061w8n77dhna1.png
LIBRO FLORETE RAYA 192 HOJAS ESTRELLA FRANCESA,0099,ESTRELLA,243.99,LIBRO FLORETE ESTRELLA FORMA FRANCESA DE RAYA CON 192 HOJAS PAPEL BOND DE 60 GRAMOS MEDIDAS 23.6 X 34.1 CMS MODELO 99,https://henki.com.mx/erp/shared_resources/productos/EST-LIBFLO-465.jpg-.jpg
MARCADOR PERMANENTE VERDE,MR099,BACO,10.19,MARCADOR PERMANENTE BACO TATOO VERDE PUNTO FINO ,https://henki.com.mx/erp/shared_resources/productos/BAC-MARPER-119.jpg
LAPIZ BICOLOR HEXAGONAL VERITHIN,M10400112015,BEROL,6.22,LAPIZ BICOLOR HEXAGONAL VERITHIN NO TOXICO,https://henki.com.mx/erp/shared_resources/restore/1042f7kp574roh.png
MARCADOR PARA PIZARRON COLORES SURTIDOS,PAPMAP009B4,ESCRIMEX,30.2,MARCADOR PARA PIZARRON ESCRIMEX CON 4 COLORES SURTIDOS PUNTA DE CINCEL,https://henki.com.mx/erp/shared_resources/productos/ESC-MARPAR-115.jpg
CERA PARA CONTAR BILLETES CUENTA FACIL,64,AZOR,12.21,CERA PARA CONTAR BILLETES CUENTA FACIL AZOR MODELO 64 14 GRS PIEZA ,https://henki.com.mx/erp/shared_resources/productos/AZO-CERPAR-516.jpg
PUNTILLAS HB 0.5 MM WEAREVER,M26010015001,BEROL,7.99,PUNTILLAS HB 0.5 MM WEAREVER ,https://henki.com.mx/erp/shared_resources/productos/BER-PUNHB-870.jpg-.jpg
MARCATEXTOS ROSA BEROL,1776638,BEROL,8.06,"MARCATEXTOS ROSA BEROL PUNTA DE CINCEL, CUERPO REDONDO
",https://henki.com.mx/erp/shared_resources/productos/BER-MARROS-1280.jpg
